tx_id,score,amount,time
541,0.8,0.0,406.0
623,0.6,529.0,472.0
4920,0.72,239.93,4462.0
6329,0.77,1.0,7519.0
6338,0.98,1.0,7551.0
6427,0.99,1.0,7610.0
6529,0.99,1.0,7891.0
6719,0.97,1.0,8415.0
6882,0.93,1.1,8808.0
6971,0.82,1809.68,9064.0
6331,0.965,1.0,7526.0
6717,0.975,1.0,8408.0
6734,0.985,1.0,8451.0
6820,1.0,1.0,8614.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6903,1.0,1.0,8886.0
6108,0.905,59.0,6986.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6774,0.985,1.0,8528.0
8972,0.78,179.66,12393.0
8312,0.95,1.0,11092.0
8615,0.975,1.0,11629.0
8842,0.995,0.0,12093.0
8296,0.925,1.0,11080.0
8335,0.94,1.0,11131.0
8617,0.865,1.0,11635.0
8845,0.985,30.39,12095.0
9035,1.0,1.0,12597.0
9179,0.985,1.0,13126.0
9252,0.955,1.0,13323.0
10497,0.645,3.79,17220.0
10568,0.965,1.0,17520.0
10630,0.99,766.36,17838.0
10690,0.88,1218.89,18088.0
10801,0.985,1.0,18399.0
10891,0.945,188.78,18675.0
10204,0.8,11.39,15817.0
10897,1.0,1.0,18690.0
9487,0.99,1.0,14073.0
9509,0.995,1.0,14152.0
10484,0.605,3.79,17187.0
10498,0.645,3.93,17230.0
11710,1.0,1.0,20011.0
11880,0.995,1.0,20451.0
12070,0.995,1.0,20931.0
11343,0.995,1.0,19762.0
12261,0.99,1.0,21419.0
12369,0.96,1.0,21662.0
11841,0.995,1.0,20332.0
12108,0.995,1.0,21046.0
14170,0.795,99.99,25198.0
14197,0.885,99.99,25231.0
14211,0.93,99.99,25254.0
15451,0.995,99.99,26833.0
15506,1.0,99.99,26899.0
15566,1.0,99.99,26961.0
15751,1.0,99.99,27187.0
14104,0.77,3.12,25095.0
14338,0.665,3.76,25426.0
15204,0.965,99.99,26556.0
15225,0.995,99.99,26585.0
15539,1.0,99.99,26931.0
15736,1.0,99.99,27163.0
15810,0.955,99.99,27252.0
16415,0.975,23.36,27784.0
15166,0.96,99.99,26523.0
15476,1.0,99.99,26863.0
15781,0.99,99.99,27219.0
16110,0.31,1.0,27524.0
541,0.8,0.0,406.0
623,0.6,529.0,472.0
4920,0.72,239.93,4462.0
6108,0.905,59.0,6986.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6774,0.985,1.0,8528.0
6331,0.965,1.0,7526.0
6717,0.975,1.0,8408.0
6734,0.985,1.0,8451.0
6820,1.0,1.0,8614.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6903,1.0,1.0,8886.0
6329,0.77,1.0,7519.0
6338,0.98,1.0,7551.0
6427,0.99,1.0,7610.0
6529,0.99,1.0,7891.0
6719,0.97,1.0,8415.0
6882,0.93,1.1,8808.0
6971,0.82,1809.68,9064.0
541,0.8,0.0,406.0
623,0.6,529.0,472.0
4920,0.72,239.93,4462.0
6108,0.905,59.0,6986.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
