window_start,latency_avg_ms,throughput_msg_s
2025-08-10T04:11:35.304304,0,3788.73
2025-08-10T04:11:45.304395,0,4036.79
2025-08-10T04:11:55.327578,0,3931.71
2025-08-10T04:12:05.366254,0,3909.7
2025-08-10T04:12:15.366322,0,3793.3
2025-08-10T04:12:25.404328,0,3858.81
2025-08-10T04:12:35.405024,0,3992.47
2025-08-10T04:12:45.405362,0,3832.65
2025-08-10T04:12:55.416032,0,3852.91
2025-08-10T04:13:05.416681,0,3907.99
2025-08-10T04:13:15.417318,0,3879.83
2025-08-10T04:13:25.419727,55285.18,2985.22
2025-08-10T04:13:35.424812,9.56,81.36
2025-08-10T04:13:45.429261,9.36,81.07
2025-08-10T04:13:55.440022,9.42,81.31
2025-08-10T04:14:05.450361,9.54,80.62
2025-08-10T04:14:15.453846,10.07,80.17
2025-08-10T04:14:25.463769,9.43,81.12
2025-08-10T04:14:35.473729,9.35,80.32
2025-08-10T04:14:45.484449,9.72,81.62
2025-08-10T04:14:55.496027,9.73,81.61
2025-08-10T04:15:05.499084,9.74,81.58
2025-08-10T04:15:15.500193,9.77,81.49
2025-08-10T04:15:25.506129,9.72,81.95
2025-08-10T04:15:35.509447,9.7,81.77
2025-08-10T04:15:45.517839,9.69,81.73
2025-08-10T04:15:55.524119,9.78,81.95
2025-08-10T04:16:05.526616,9.77,81.78
2025-08-10T04:16:15.528176,9.74,81.79
2025-08-10T04:16:25.536610,9.67,81.73
2025-08-10T04:16:35.542658,9.74,81.45
2025-08-10T04:16:45.556670,9.73,81.29
2025-08-10T04:16:55.559600,9.59,81.58
2025-08-10T04:17:05.567012,8.99,80.84
2025-08-10T04:17:15.569779,9.36,80.78
2025-08-10T04:17:25.580187,9.7,81.12
2025-08-10T04:17:35.586030,9.67,81.56
2025-08-10T04:17:45.600255,9.32,81.29
2025-08-10T04:17:55.601472,9.5,81.69
2025-08-10T04:18:05.601981,9.7,80.3
2025-08-10T04:18:15.612805,9.47,81.41
2025-08-10T04:18:25.616926,9.2,81.47
2025-08-10T04:18:35.622872,9.05,80.36
2025-08-10T04:18:45.624843,9.25,81.19
2025-08-10T04:18:55.627252,9.23,81.18
2025-08-10T04:19:05.628621,9.62,80.09
2025-08-10T04:19:47.902585,0,3560.01
2025-08-10T04:19:57.911535,0,3771.2
2025-08-10T04:20:07.912149,0,3858.59
2025-08-10T04:20:17.934330,0,3907.02
2025-08-10T04:20:27.934527,0,3706.99
